doi,authors
10.31142/ijtsrd14329,"['B Nagesha', 'G Ajeya']"
10.1111/j.1741-3737.2001.00001.x,['Vern L. Bengtson']
10.2307/2112521,"['William C. Cockerham', 'Audie Blevins']"
10.1177/0001699307077654,['Сара Ферландер']
10.2307/1388844,"['Zena Smith Blau', 'George T. Oser', 'Richard C. Stephens']"
10.1108/17422040910938730,['Jon Cloke']
10.1080/01419870.1992.9993761,"['Alejandro Portes', 'Min Zhou']"
10.1177/0022487102053001003,"['Ana María Villegas', 'Tamara Lucas']"
10.1108/oth-03-2013-0018,['Matti Heinonen']
10.1093/oxfordjournals.oep.a041716,['Amartya Sen']
10.2307/2171877,['George A. Akerlof']
10.1016/j.fcr.2012.10.007,"['Pablo Tittonell', 'K.E. Giller']"
10.1111/1467-8624.t01-1-00383,"['Robert H. Bradley', 'Robert F. Corwyn', 'Margaret Burchinal', 'Harriette Pipes McAdoo', 'Cynthia García Coll']"
10.2105/ajph.2006.095521,"['Julia C. Kim', 'Charlotte Watts', 'James Hargreaves', 'Luceth X. Ndhlovu', 'Godfrey Phetla', 'Linda Morison', 'Joanna Busza', 'John D. Porter', 'Paul Pronyk']"
10.4103/0972-6748.110938,['Kalpana Srivastava']
10.1093/socpro/spab072,"['Kamesha Spates', 'Brittany C. Slatton']"
10.2307/2960399,['Martin Gilens']
10.1093/sw/34.4.350,"['Ann Weick', 'Charles A. Rapp', 'W. Patrick Sullivan', 'Walter Kisthardt']"
10.3102/0091732x025001099,['James Paul Gee']
10.1080/01436590500336757,['Hein de Haas']
10.12854/erde-147-22,['Michael Watts']
10.1068/a4606ge,"['Loïc Wacquant', 'Tom Slater', 'Virgílio Borges Pereira']"
10.2307/2937949,['Kiminori Matsuyama']
10.2307/1863561,"['Raymond Van Dam', 'Michael McCormick']"
10.1016/j.socscimed.2014.03.022,['Greta R. Bauer']
10.2307/2657324,"['John H. Laub', 'Daniel S. Nagin', 'Robert J. Sampson']"
10.1257/jep.12.3.151,"['Sushil Bikhchandani', 'David Hirshleifer', 'Ivo Welch']"
10.13189/ijrh.2014.020608,"['S. Rajeev', 'Diston Kunjachan']"
10.1111/j.1747-9991.2012.00500.x,['Laura Valentini']
10.1146/annurev.soc.34.040507.134619,['Karl Ulrich Mayer']
10.1111/etap.12108,"['Thomas H. Allison', 'Blakley C. Davis', 'Jeremy C. Short', 'Justin W. Webb']"
10.1111/j.1748-720x.2002.tb00384.x,"['James F. Childress', 'Ruth Faden', 'Ruth D. Gaare', 'Lawrence O. Gostin', 'Jeffrey Kahn', 'Richard J. Bonnie', 'Nancy E. Kass', 'Anna C. Mastroianni', 'Jonathan D. Moreno', 'Phillip Nieburg']"
10.4236/jss.2019.711003,['Abdirahman Osman Gaas']
10.1080/07474938.2012.690641,"['Koen Decancq', 'María Ana Lugo']"
10.1080/713701075,['Thomas G. Weiss']
10.1257/002205102762203576,['Rebecca M. Blank']
10.1017/s0954579408000394,"['Karen L. Bierman', 'Robert L. Nix', 'Mark T. Greenberg', 'Clancy Blair', 'Celene E. Domitrovich']"
10.1086/220534,['Georg Simmel']
10.1177/1097184x17706401,['Debbie Ging']
10.1016/j.cosust.2013.07.001,"['Wolfram Mauser', 'Gernot Klepper', 'Martin Rice', 'Bettina Schmalzbauer', 'Heide Hackmann', 'Rik Leemans', 'H. E. Moore']"
10.1080/03066150.2011.559009,['Tania Murray Li']
10.2105/ajph.2011.300544,['Nancy Krieger']
10.1080/17508487.2013.776990,['Raewyn Connell']
10.1093/heapro/6.3.217,['Margaret Whitehead']
10.1177/0022343307087169,['Gudrun Østby']
10.1162/003465300558821,"['Menno Pradhan', 'Martin Ravallion']"
10.1111/j.1745-9125.1993.tb01132.x,"['John H. Laub', 'Robert J. Sampson']"
10.1111/1468-5965.00263,['Jef Huysmans']
10.1093/cjres/rsu011,['Robert G. Hollands']
10.1037/0022-0663.89.3.527,"['Tamara Halle', 'Beth Kurtz‐Costes', 'Joseph L. Mahoney']"
10.1080/146167499359880,['Sonia E. Álvarez']
10.1111/j.0735-2166.2005.00239.x,['S. Musterd']
10.1111/j.1467-9973.2005.00362.x,['Thomas Pogge']
10.1093/ejil/chn043,['Christopher McCrudden']
10.1080/09614520701469302,['Andréa Cornwall']
10.1080/13548500600595053,"['Mitchell G. Weiss', 'Jayashree Ramakrishna', 'D Somma']"
10.2307/2966964,"['Nancy J. Nichols', 'Ann Watts McKinney']"
10.1177/026327697014004001,['Karin Knorr Cetina']
10.2189/asqu.2009.54.1.32,"['J. Stuart Bunderson', 'Jeffery A. Thompson']"
10.2307/1962290,['Ronald Inglehart']
10.1177/0149206305279601,"['John W. Selsky', 'Barbara Parker']"
10.1002/sd.1623,"['Regina Scheyvens', 'Glenn Banks', 'E. D. Hughes']"
10.1093/geront/36.2.230,['Angela M. O’Rand']
10.1080/17530350.2014.888366,['Kean Birch']
10.14318/hau6.1.004,['Sherry B. Ortner']
10.1086/228463,['Doug McAdam']
10.5751/es-01530-110113,"['Brian Walker', 'Lance Gunderson', 'Ann P. Kinzig', 'Carl Folke', 'Steve Carpenter', 'Lisen Schultz']"
10.1001/jama.285.2.200,['Margot Kushel']
10.1001/jama.281.6.552,['American Medical Association Ad Hoc Committee on Health Literacy for the Council on Scientific …']
10.1017/s0889189300007165,['Gail Feenstra']
10.1111/j.1745-9125.1991.tb01067.x,"['Janet L. Lauritsen', 'Robert J. Sampson', 'John H. Laub']"
10.2307/1317656,"['F. Harold Wilson', 'Joe R. Feagin']"
10.1080/00220380410001673175,"['Frank Ellis', 'H. A. Freeman']"
10.1080/09687599.2011.602860,['Helen Meekosha']
10.1111/j.1467-8306.2007.00563.x,"['Eric Neumayer', 'Thomas Plümper']"
10.1002/csr.212,"['Peter Dobers', 'Minna Halme']"
10.3390/ijerph16010004,"['Khaled Al-Said', 'Orna Braun‐Lewensohn', 'Ephrat Huss']"
10.1002/jid.908,['Mark Schreiner']
10.2139/ssrn.1815243,"['Sabina Alkire', 'María Emma Santos']"
10.1542/peds.2009-0597,"['Naomi N. Duke', 'Sandra L. Pettingell', 'Barbara J. McMorris', 'Iris W. Borowsky']"
10.1093/wbro/lkp015,"['Alain de Janvry', 'Élisabeth Sadoulet']"
10.1002/jae.755,"['Paul Contoyannis', 'Andrew M. Jones', 'Nigel Rice']"
10.1056/nejmp048078,['Arthur Kleinman']
10.2307/2073744,"['Lee Rainwater', 'Patricia Ruggles']"
10.1086/427465,"['Edward L. Glaeser', 'Joseph Gyourko']"
10.2307/2092642,"['Kurt B. Mayer', 'Ralf Dahrendorf']"
10.1068/a38179,['Ann Markusen']
10.1353/sais.2002.0009,['Francis Fukuyama']
10.1162/001152605774431464,['Robert Ν. Bellah']
10.1002/pad.584,"['Derick W. Brinkerhoff', 'Jennifer M. Brinkerhoff']"
10.1017/s0144686x81000020,['Peter Townsend']
10.3126/ijssm.v5i3.20600,"['Razia Parveen', 'Muhammad Hussain', 'Iram Majeed', 'Muhammad Afzal', 'Syed Amir Gilani']"
10.2307/3088896,"['Alejandro Portes', 'Luis Eduardo Guarnizo', 'William Haller']"
10.1177/0956247808096117,['Diana Mitlin']
10.1177/1558689807309969,['Jennifer C. Greene']
10.1080/09518390110063365,"['Daniel G. Solórzano', 'Tara J. Yosso']"
10.1002/jid.2992,"['Christophe Béné', 'Andrew Newsham', 'Mark Davies', 'Martina Ulrichs', 'Rachel Godfrey‐Wood']"
10.7203/metode.8.10004,"['Edzard Ernst', 'Angelo Fasce']"
10.1542/peds.106.6.1380,"['Amy E. Baughcum', 'Leigh A. Chamberlin', 'Cindy M. Deeks', 'Scott W. Powers', 'Robert C. Whitaker']"
10.1111/j.1540-4560.2008.00550.x,"['Edward Melhuish', 'Mai B. Phan', 'Κathy Sylva', 'Pam Sammons', 'Iram Siraj‐Blatchford', 'Brenda Taggart']"
10.2307/2960149,"['Thomas E. Nelson', 'Donald R. Kinder']"
10.1080/01436597.2013.800751,['Ronaldo Munck']
10.1146/annurev.an.24.100195.002555,['Michael Kearney']
10.1080/00220380500405345,"['Michelle Adato', 'Michael R. Carter', 'Julian May']"
10.1111/j.1467-6486.2012.01048.x,"['Gerard George', 'Anita M. McGahan', 'Jaideep Prabhu']"
10.1186/1478-7547-4-14,"['Rob Baltussen', 'Louis Niessen']"
10.2307/2095716,"['Alejandro Portes', 'Leif Jensen']"
10.2307/4065679,"['Debbie Budlender', 'Marilyn Waring']"
10.1080/0143659042000308447,"['Andréa Cornwall', 'Celestine Nyamu‐Musembi']"
10.1080/10511482.2006.9521564,['Michael E. Stone']
10.1097/mpg.0b013e318272af06,"['Ricardo Uauy', 'Jehan‐François Desjeux', 'Tahmeed Ahmed', 'Muttaquina Hossain', 'David Brewster', 'David Forbes', 'Harmony Caton', 'Ronald E. Kleinman']"
10.1146/annurev.anthro.32.061002.093112,['Arun Agrawal']
10.1177/0013161x10375609,['Carolyn M. Shields']
10.22373/share.v7i2.2668,"['Syamsuri Syamsuri', 'Yuwan Ebit Saputro']"
10.1016/j.enpol.2014.09.005,"['Aleh Cherp', 'Jessica Jewell']"
10.5923/j.economics.20201004.02,"['Mohamed Buheji', 'Katiane da Costa Cunha', 'Godfred Beka', 'Bartola Mavrić', 'Yuri Leandro do Carmo de Souza', 'Simone Souza da Costa Silva', 'Mohammed Hanafi', 'Tulika Chetia Yein']"
10.1146/annurev.soc.24.1.345,['John W. Mohr']
10.1111/j.1747-7379.2004.tb00228.x,['Min Zhou']
10.36106/paripex/1706124,"['Meenakshi K.H', 'B. Jayarama Bhat']"
10.1080/09650792.2019.1682630,"['German Alonso Moreno', 'David Rutledge']"
10.1146/annurev.anthro.26.1.439,['William F. Fisher']
10.1080/1535685x.2017.1317059,['Adam Gearey']
10.1039/c9ee02873k,"['Collin Smith', 'Alfred K. Hill', 'Laura Torrente‐Murciano']"
10.2307/2074854,"['D R Harper', 'David A. Snow', 'Léon Anderson']"
10.1093/geront/28.1.51,"['Karl Pillemer', 'David Finkelhor']"
10.1080/14649880600815982,['Solava Ibrahim']
10.1111/j.1540-6520.2012.00543.x,"['Carmelo Cennamo', 'Pascual Berrone', 'Cristina Cruz', 'Luis R. Gómez‐Mejía']"
10.1080/17430437.2013.815519,"['Michelle M. Sikes', 'Grant Jarvie']"
10.31108/1.2019.5.5.6,['Olha Lavrenko']
10.2307/2117747,['Victor Nee']
10.37421/2169-026x.2021.10.311,['Babangida shehu']
10.53956/jfde.2018.117,"['Gordon Divine Asaah', 'Chloe Kannan']"
10.1093/brain/106.3.655,"['Giacomo Rizzolatti', 'Massimo Matelli', 'Giovanni Pavesi']"
10.1177/026101839601604601,['Ruth Levitas']
10.19177/reen.v1e220081-23,"['Coimbatore Krishnarao Prahalad', 'Stuart L. Hart']"
10.1080/1354570042000267608,['Marilyn Power']
10.5406/23288612.29.1.08,['Gabe Schwartzman']
10.1162/isec.2006.31.1.49,"['Andrew Kydd', 'Barbara F. Walter']"
10.1080/10810730.2010.499985,"['Nancy D Berkman', 'Terry C. Davis', 'Lauren McCormack']"
10.2105/ajph.2004.042432,"['L. Gary Hart', 'Eric H. Larson', 'Denise M. Lishner']"
10.1146/annurev.so.17.080191.001511,['Silvia Pedraza']
10.2139/ssrn.121632,"['Robert Haveman', 'Andrew Bershadker']"
10.1177/019791838902300311,"['Alejandro Portes', 'József Böröcz']"
10.1111/j.1467-8306.2007.00520.x,['Victoria Lawson']
10.1111/j.1745-9125.1991.tb01087.x,['E. BRITT PATTERSON']
10.2307/3684627,"['Alice N. Benston', 'Fredric Jameson']"
10.1093/heapro/13.1.75,"['Chih‐Chien Wang', 'Wu Yi', 'Z. W. Tao', 'Kathryn Carovano']"
10.18488/journal.1/2016.6.4/1.4.251.261,"['Abdulrahman Al Fawwaz', 'Abdullah Ahmed']"
10.2460/javma.1998.212.01.53,"['John VanLeeuwen', 'N. Ole Nielsen', 'David Waltner‐Toews']"
10.1093/oxfordjournals.aje.a115087,"['Mary E. Farmer', 'Ben Z. Locke', 'Eve K. Mościcki', 'Andrew L. Dannenberg', 'David B. Larson', 'Lenore Sawyer Radloff']"
10.1080/01436590050004300,['Jan Nederveen Pieterse']
10.1080/10911359.2020.1799898,"['Amy Castro Baker', 'Claudette Grinnell‐Davis', 'Chenyi Ma', 'Jedediah E. Bragg']"
10.1136/jech.2003.013466,['Raj Bhopal']
10.7176/cer/12-7-04,"['Ebelechukwu Obianuju Enwerekowe', 'Ann Katyen']"
10.1163/15709256-20231142,['Rosa Huotari']
10.1525/sp.2003.50.1.136,['Prudence L. Carter']
10.1055/s-0034-1390442,['Timo‐Kolja Pförtner']
10.1002/cb.155,"['Aron O’Cass', 'Hmily McEwen']"
10.1073/pnas.1308149110,"['Mario Herrero', 'Peter Havlík', 'Hugo Valin', 'An Notenbaert', 'Mariana C. Rufino', 'Philip K. Thornton', 'Michael Blümmel', 'Franz Weiß', 'Delia Grace', 'Michael Obersteiner']"
10.1080/00071005.2013.798393,"['Laura Oxley', 'Paul Morris']"
10.1093/geront/gnu027,"['Stephen Katz', 'Toni Calasanti']"
10.1111/j.1467-954x.2005.00565.x,"['Noel Cass', 'Elizabeth Shove', 'John Urry']"
10.5751/es-06799-190401,"['Per Olsson', 'Victor Galaz', 'Wiebren J. Boonstra']"
10.1002/1098-2736(200011)37:9<963::aid-tea6>3.0.co;2-0,"['Jonathan Supovitz', 'Herbert M. Turner']"
10.5751/es-01606-110119,"['Louis Lebel', 'John M. Anderies', 'Bruce M. Campbell', 'Carl Folke', 'Steve Hatfield–Dodds', 'Terry P. Hughes', 'James A. Wilson']"
10.1080/0143659042000191438,['Glyn Williams']
10.1002/jtr.727,['Daniel Guttentag']
10.1177/0170840607078114,"['Farzad Rafi Khan', 'Kamal Munir', 'Hugh Willmott']"
10.1037/0012-1649.36.5.596,"['Christopher J. Lonigan', 'Stephen R. Burgess', 'Jason L. Anthony']"
10.1037/a0015854,['Daniel Casasanto']
10.1207/s15374424jccp1904_2,['Carolyn Webster‐Stratton']
10.2307/2657440,"['Arne L. Kalleberg', 'Barbara F. Reskin', 'Ken Hudson']"
10.1186/s40878-020-00210-4,['Hein de Haas']
10.1093/aje/154.4.291,['Jay S. Kaufman']
10.2307/3097221,"['Barbara D. Warner', 'Pamela Wilcox Rountree']"
10.1177/0263276414531627,['Frank W. Geels']
10.2307/3341876,"['Jane Jenson', 'Denis Saint‐Martin']"
10.1080/14649880050008782,"['Sudhir Anand', 'Amartya Sen']"
10.5465/ambpp.2022.13126abstract,"['Xingshan Zheng', 'Qi Zhang', 'Xinxin Li', 'Bingqing Wu']"
10.1111/j.1467-9906.1989.tb00195.x,['Sam Staley']
10.1080/1362102042000256989,['William Walters']
10.1080/14615517.2012.660356,"['Ana Maria Esteves', 'Daniel M. Franks', 'Frank Vanclay']"
10.1111/j.1468-2346.2006.00581.x,"['Marina Prieto-Carrón', 'Peter Lund‐Thomsen', 'Anita Chan', 'Ana Muro', 'Chandra Bhushan']"
10.1257/aer.p20161101,"['Frank Schilbach', 'Heather Schofield', 'Sendhil Mullainathan']"
10.1017/s004727940300713x,"['Jonathan Bradshaw', 'Naomi Finch']"
10.1177/1469540507086422,"['John Connolly', 'Andrea Prothero']"
10.1111/j.1745-9125.1993.tb01138.x,['John Hagan']
10.1093/her/12.3.385,"['Candace Currie', 'R A Elton', 'Joanna Todd', 'Stephen Platt']"
10.1080/13688790.2014.966414,['Gurminder K. Bhambra']
10.1093/ije/dys037,"['Laura D. Howe', 'Bruna Galobardes', 'Alícia Matijasevich', 'David Gordon', 'Deborah Johnston', 'Obinna Onwujekwe', 'Rita Patel', 'Elizabeth Webb', 'Debbie A. Lawlor', 'James Hargreaves']"
10.1080/00420980050162184,['Elizabeth Burton']
10.1080/09718923.2012.11893075,"['Meahabo Dinah Magano', 'F.E. Gouws']"
10.2478/wrlae-2023-0008,['Aleksandra Puczko']
10.18843/ijcms/v8i1/02,"['Prof Nehajoan Panackal -', 'Prof. Archana Singh -', 'Prof. Sajeesh Hamsa -']"
10.1086/652208,"['John H. Laub', 'Robert J. Sampson']"
10.1353/sof.2002.0038,['James W. Ainsworth']
10.1037/0022-3514.72.2.408,"['L. Rowell Huesmann', 'Nancy G. Guerra']"
10.1126/science.aaf8317,"['Karine Nyborg', 'John M. Anderies', 'Astrid Dannenberg', 'Therese Lindahl', 'Caroline Schill', 'Maja Schlüter\u202c', 'W. Neil Adger', 'Kenneth J. Arrow', 'Scott Barrett', 'Stephen R. Carpenter', 'F. Stuart Chapin', 'Anne‐Sophie Crépin', 'Gretchen C. Daily', 'Paul R. Ehrlich', 'Carl Folke', 'Wander Jager', 'Nils Kautsky', 'Simon A. Levin', 'Ole Jacob Madsen', 'Stephen Polasky', 'Marten Scheffer', 'Brian Walker', 'Elke U. Weber', 'James E. Wilen', 'Anastasios Xepapadeas', 'Aart de Zeeuw']"
10.1177/0263276409106349,['Didier Fassin']
10.1179/030801800679314,['Michael K. Miller']
10.1177/0263276409350283,['Maurizio Lazzarato']
10.1093/wbro/16.2.125,['Angus Deaton']
10.2307/2579458,"['John A. Fleishman', 'James R. Kluegel', 'Eliot R. Smith']"
10.2139/ssrn.1659286,['Nicolae Bulz']
10.1080/09614520701469518,['Pablo Alejandro Leal']
10.2307/2010277,"['Robert H. Jackson', 'Carl G. Rosberg']"
10.1080/01419870.1993.9993779,"['Jack David Eller', 'Reed Coughlan']"
10.1136/jech.2004.028092,['Bruna Galobardes']
10.1080/0968759042000284213,['Tania Burchardt']
10.1029/2007wr006767,"['Johan Rockström', 'Malin Falkenmark', 'Louise Karlberg', 'Holger Hoff', 'Stefanie Rost', 'Dieter Gerten']"
10.1002/j.1556-6676.1996.tb01881.x,"['Carl F. Rak', 'Lewis E. Patterson']"
10.1525/ae.2006.33.1.33,['Miriam Ticktin']
10.17161/str.1808.4742,['Francesco Cordasco']
10.1111/j.1467-7679.2010.00486.x,"['Christophe Béné', 'Bjørn Hersoug', 'Edward H. Allison']"
10.2307/2654969,"['Dwight L. Rogers', 'Thomas S. Popkewitz']"
10.36920/esa-v25n1-5,"['Sandra Cristina Franchikoski', 'Susana Cesco']"
10.1080/00141844.2015.1080749,['Laura Stark']
10.1111/j.1467-6486.2012.01044.x,"['Jeremy Hall', 'Stelvia Matos', 'Lorn Sheehan', 'Bruno dos Santos Silvestre']"
10.1146/annurev-soc-081309-150022,"['Alejandro Portes', 'Erik Vickstrom']"
10.1002/mar.10008,"['Deirdre Shaw', 'Terry Newholm']"
10.1177/146642400212200211,"['Jill Stewart', 'Paul N. Balchin']"
10.1353/mfs.1999.0033,['James Robert Saunders']
10.1017/s0047279400019280,"['Tim Callan', 'Brian Nolan', 'Christopher T. Whelan']"
10.5539/jsd.v4n1p200,"['Aremu Mukaila Ayanda', 'Adeyemi Sidikat Laraba']"
10.4172/2165-8064.1000300,['Sikha Agarwal']
10.1017/s0007123498000313,"['Carles Boix', 'Daniel Posner']"
10.1177/0263276402019004003,['Ulrich Beck']
10.1086/250107,['Robert J. Barro']
10.1093/socpro/spaa045,['Maia Cucchiara']
10.1080/02615479.2014.977244,"['Marcie Fisher‐Borne', 'Jessie Montana Cain', 'Suzanne L. Martin']"
10.1001/jama.289.20.2709,"['Judith B. Kaplan', 'Trude Bennett']"
10.2307/2669244,"['Stanley Feldman', 'Marco R. Steenbergen']"
10.1093/oxfordjournals.afraf.a097180,['Michael Tribe']
10.1037/hea0000242,"['David R. Williams', 'Naomi Priest', 'Norman B. Anderson']"
10.1111/j.1540-6520.2010.00420.x,"['Johan Wiklund', 'Per Davidsson', 'David B. Audretsch', 'Charlie Karlsson']"
10.1080/09555803.2012.671843,['Kristina Iwata-Weickgenannt']
10.2307/2095708,"['George Farkas', 'Robert P. Grobe', 'Daniel Sheehan', 'Yuan Shuan']"
10.1177/073724770302900106,"['Joe P. Sutton', 'E. Jane Nowacek', 'Angela Capone', 'Ralph Hausman', 'Karen Callan Stoiber', 'Gerald Tindal']"
10.1111/1468-2346.00267,"['Firoze Manji', 'Carl O’Coill']"
10.32890/jbma2022.12.1.5,"['Akinola Emmanuel Taiwo', 'Afolabi Festus Oluwole', 'Afolabi Oluwaseun Ayooluwa']"
10.5751/es-05551-180426,"['Claudia R. Binder', 'Jochen Hinkel', 'Pieter W. G. Bots', 'Claudia Pahl‐Wostl']"
10.53819/81018102t5281,[]
10.1002/jid.1212,['Sarah Mosedale']
10.1257/jep.23.1.167,"['Robert Cull', 'Aslı Demirgüç-Kunt', 'Jonathan Morduch']"
10.1080/0961452032000125857,"['Alison Mathie', 'Gord Cunningham']"
10.1073/pnas.1011521108,"['Christopher B. Barrett', 'Alexander J. Travis', 'Partha Dasgupta']"
10.1002/pad.261,['Richard Crook']
10.1111/j.1468-0297.2007.02013.x,"['Niels Hermes', 'Robert Lensink']"
10.2307/1128221,"['Leah Matas', 'Richard Arend', 'L. Alan Sroufe']"
10.1111/j.1475-4991.2005.00148.x,"['Joseph Deutsch', 'Jacques Silber']"
10.3390/su8030281,['Tiziano Gomiero']
10.1080/01436597.2015.1013341,"['Andréa Cornwall', 'Althea-Maria Rivas']"
10.21678/apuntes.86.1231,"['Maritza Vargas Montero', 'Gerardo Villalobos Rodríguez', 'Luís Araya-Castillo']"
10.1109/mc.2008.192,['Richard Heeks']
10.1016/j.enpol.2017.03.064,"['Stefan Bouzarovski', 'Neil Simcock']"
10.2307/2010273,['John Gerard Ruggie']
10.1080/13683500.2011.559200,"['María José Zapata', 'C. Michael Hall', 'Patricia Lindo', 'Mieke Vanderschaeghe']"
10.1191/1464993403ps049ra,['Roger Few']
10.1108/10610420210423455,"['Aron O’Cass', 'Hmily Frost']"
10.1063/1.5011531,"['Eddy Setiadi Soedjono', 'Nurina Fitriani', 'Adhi Yuniarto', 'I Made Wahyu Wijaya']"
10.20885/unisia.vol29.iss59.art7,"['Fadel Muhammad', 'Mahmudi Mahmudi']"
10.1002/ejsp.127,"['John T. Jost', 'Brett W. Pelham', 'Oliver Sheldon', 'Bilian Ni Sullivan']"
10.1177/1094670515576315,"['Amy L. Ostrom', 'A. Parasuraman', 'David E. Bowen', 'Lia Patrício', 'Chris Voss']"
10.1093/jae/ejh019,['Shantayanan Devarajan']
10.1016/s0140-6736(21)01287-3,"['Aline Gubrium', 'Erika Gubrium']"
10.1177/1097184x12438001,"['Robert Morrell', 'Rachel Jewkes', 'Graham Lindegger']"
10.3197/096327113x13581561725194,"['Federico Demaria', 'François Schneider', 'Filka Sekulova', 'Joan Martínez Alier']"
10.3817/0983057226,['Justine Ann Clark']
10.1016/j.jrurstud.2016.02.001,"['Yograj Gautam', 'Peter B. Andersen']"
10.1257/089533004773563494,"['John M. Quigley', 'Steven Raphael']"
10.1080/08039410.2022.2096480,['Elling N. Tjønneland']
10.1002/hec.1209,"['Eddy van Doorslaer', 'Owen O’Donnell', 'Ravindra P. Rannan‐Eliya', 'Aparnaa Somanathan', 'Shiva Raj Adhikari', 'Charu C. Garg', 'Deni Harbianto', 'Alejandro N. Herrin', 'Mohammed Nazmul Huq', 'Shamsia Ibragimova', 'Anup Karan', 'Tae‐Jin Lee', 'GM Leung', 'Jui-fen Rachel Lu', 'Chiu‐Wan Ng', 'Badri Raj Pande', 'Rachel H. Racelis', 'Sihai Tao', 'Keith Tin', 'Kanjana Tisayaticom', 'Laksono Trisnantoro', 'Chitpranee Vasavid', 'Zhao Yu-xin']"
10.1111/j.1548-1360.2008.00007.x,['Ann Laura Stoler']
10.1111/etap.12078,"['Sharon Alvarez', 'Jay B. Barney']"
10.2105/ajph.88.3.419,"['Katherine Alaimo', 'Ronette Briefel', 'Edward A. Frongillo', 'Christine M. Olson']"
10.2167/cit318.0,['Regina Scheyvens']
10.2105/ajph.87.5.805,"['Raynard Kington', 'Jill P. Smith']"
10.1016/j.gloenvcha.2016.05.008,"['Detlef P. van Vuuren', 'Elke Stehfest', 'David Gernaat', 'Jonathan Doelman', 'Maarten van den Berg', 'Mathijs Harmsen', 'Harmen-Sytze de Boer', 'A. F. Bouwman', 'Vassilis Daioglou', 'Oreane Edelenbosch', 'Bastien Girod', 'Tom Kram', 'Luis Lassaletta', 'Paul Lucas', 'Hans van Meijl', 'Christoph Müller', 'Bas van Ruijven', 'Sietske van der Sluis', 'Andrzej Tabeau']"
10.33545/nursing.2021.v4.i1.b.137,"['Celesile Chipo Cute Ndlovu', 'Petty Makoni', 'Helen Vupenyu Gundani']"
10.1002/pam.20493,"['Brian Nolan', 'Christopher T. Whelan']"
10.1037/a0020659,"['Kostas A. Fanti', 'Christopher C. Henrich']"
10.5751/es-01730-110142,"['Melissa Marschke', 'Fikret Berkes']"
10.1093/screen/30.4.36,['Andrew Higson']
10.2307/487637,"['Peter Laska', 'Shlomo Avineri']"
10.1111/1467-7660.00049,"['A. S. Bhalla', 'Frédéric Lapeyre']"
10.1177/0958928706065593,"['Ayşe Buğra', 'Çağlar Keyder']"
10.1111/1467-7679.00141,"['Caroline Ashley', 'Simon Maxwell']"
10.1037/0003-066x.57.2.100,['Bernice Lott']
10.1177/1049732306287525,"['Elizabeth Carlson', 'Joan Engebretson', 'Robert M. Chamberlain']"
10.1177/08861099231186199,['Jenny Maturi']
10.14512/gaia.21.1.9,['Ulrich Brand']
10.1080/09502386.2014.886480,"['Mike Beggs', 'Dick Bryan', 'Michael Rafferty']"
10.1111/j.1759-5436.2000.mp31004009.x,['Naila Kabeer']
10.3390/su11216104,"['Vasiliki Kioupi', 'Nikolaos Voulvoulis']"
10.1162/isec.22.2.54,['Roland Paris']
10.1080/01436597.2012.755012,['Edward R. Carr']
10.1080/02660830.2007.11661545,"['Gert Biesta', 'Michael Tedder']"
10.5751/es-03812-160105,"['Michele‐Lee Moore', 'Frances Westley']"
10.1002/ird.114,"['Intizar Hussain', 'Munir A. Hanjra']"
10.1111/1468-2427.00435,['Margit Mayer']
10.1093/sf/67.4.1027,"['Yeheskel Hasenfeld', 'J. A. Rafferty']"
10.2307/2501399,['Milica Bakić-Hayden']
10.2139/ssrn.617544,['Dani Rodrik']
10.1080/13604813.2011.568717,"['Neil Brenner', 'David J. Madden', 'David Wachsmuth']"
10.1080/14649880701371034,['Pinar Uyan‐Semerci']
10.22365/jpsych.2017.283.199,['Nick Bouras']
10.1111/j.1467-7660.2006.00497.x,['Christian Lund']
10.1080/14616690701336518,"['David Rose', 'Eric Harrison']"
10.3982/ecta10489,"['Gharad Bryan', 'Shyamal Chowdhury', 'Ahmed Mushfiq Mobarak']"
10.4102/jamba.v2i2.21,['Maximiliano E. Korstanje']
10.1080/01944369708975727,"['Peter Gordon', 'Harry W. Richardson']"
10.1177/095892879500500203,['Bjørn Halleröd']
10.1177/0002716207311877,['Manuel Castells']
10.3102/0013189x07308739,"['Motoko Akiba', 'Gerald K. LeTendre', 'Jay Paredes Scribner']"
10.1145/2330601.2330616,"['Rebecca Ferguson', 'Simon Buckingham Shum']"
10.5901/mjss.2014.v5n23p1674,['Francis Oduola']
10.1002/ejsp.2420050102,['John Turner']
10.1073/pnas.1117622109,"['Karen C. Seto', 'Anette Reenberg', 'Christopher G. Boone', 'Michail Fragkias', 'Dagmar Haase', 'Tobias Langanke', 'Peter J. Marcotullio', 'Darla K. Munroe', 'Branislav Olah', 'Dávid Simon']"
10.1353/hrq.1999.0028,['L. Amede Obiora']
10.1017/s0003055402004240,"['Nicholas A. Valentino', 'Vincent L. Hutchings', 'Ismail K. White']"
10.1108/03090569710162380,['Bernard Covà']
10.1080/00220388.2010.487095,['David Mosse']
10.2307/1962678,['Shanto Iyengar']
10.1109/iciii.2010.612,"['Feng Li', 'Zhengqiong Lv']"
10.14710/politika.4.1.2013.41-48,['Kushandajani Kushandajani']
10.3109/10826089809115896,"['Massimo Buscema', 'Lidia Diappi', 'Michela Ottanà']"
